
========== LOSS FUNCTIONS ==========
PDE losses:
  PDE 1
  PDE 2
BC losses:
BC[1] = Surface Energy
BC[2] = Ice Heat Flux
BC[3] = Ice Gas Flux
====================================

[1] loss = 1.235  (248.1s)
[227] loss = 1.23791  (814.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.272 K, n=9.0977e20 m^-3
[228] loss = 1.23774  (816.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.272 K, n=9.0937e20 m^-3
[229] loss = 1.23756  (818.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.273 K, n=9.0898e20 m^-3
[230] loss = 1.23739  (821.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.273 K, n=9.0859e20 m^-3
[231] loss = 1.23722  (823.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.274 K, n=9.082e20 m^-3
[232] loss = 1.23705  (824.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.274 K, n=9.078e20 m^-3
[233] loss = 1.23687  (827.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.274 K, n=9.0741e20 m^-3
[234] loss = 1.2367  (830.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.275 K, n=9.0703e20 m^-3
[235] loss = 1.23653  (833.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.275 K, n=9.0665e20 m^-3
[236] loss = 1.23636  (835.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.276 K, n=9.0627e20 m^-3
[237] loss = 1.23619  (838.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.276 K, n=9.059e20 m^-3
[238] loss = 1.23602  (841.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.277 K, n=9.0554e20 m^-3
[239] loss = 1.23585  (844.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.277 K, n=9.0517e20 m^-3
[240] loss = 1.23567  (846.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.278 K, n=9.048e20 m^-3
[241] loss = 1.2355  (848.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.232208768400525e-5   physical≈6.877147517087394 W/m^3
PDE[2] gas eq : scaled=1.0741340014568063e-7   physical≈3.856246587880876e19 m^-3/s
BC[1] surface : scaled=1.2047912907945089   physical≈0.14339085137792476 W/m^2
BC[2] ice heat : scaled=0.01534513143536778   physical≈180.31266889834018 W/m^2
BC[3] ice gas : scaled=0.015345059592821073   physical≈1.4575378939802838e22 m^-2/s
Total PDE = 2.242950108415093e-5
Total BC  = 1.2354814818226978
Grand Total = 1.235503911323782
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.278 K, n=9.0443e20 m^-3
[242] loss = 1.23533  (852.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.279 K, n=9.0407e20 m^-3
[243] loss = 1.23516  (854.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.279 K, n=9.037e20 m^-3
[244] loss = 1.23499  (857.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.28 K, n=9.0333e20 m^-3
[245] loss = 1.23482  (860.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.28 K, n=9.0296e20 m^-3
[246] loss = 1.23465  (864.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.281 K, n=9.026e20 m^-3
[247] loss = 1.23448  (865.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.281 K, n=9.0224e20 m^-3
[248] loss = 1.23431  (868.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.282 K, n=9.0188e20 m^-3
[249] loss = 1.23414  (870.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.282 K, n=9.0152e20 m^-3
[250] loss = 1.23397  (873.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.283 K, n=9.0117e20 m^-3
[251] loss = 1.2338  (876.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.283 K, n=9.0082e20 m^-3
[252] loss = 1.23363  (878.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.284 K, n=9.0049e20 m^-3
[253] loss = 1.23346  (880.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.284 K, n=9.0015e20 m^-3
[254] loss = 1.2333  (883.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.285 K, n=8.9981e20 m^-3
[255] loss = 1.23313  (886.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.285 K, n=8.9948e20 m^-3
[256] loss = 1.23296  (887.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.286 K, n=8.9915e20 m^-3
[257] loss = 1.23279  (890.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.286 K, n=8.9883e20 m^-3
[258] loss = 1.23262  (893.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.287 K, n=8.9851e20 m^-3
[259] loss = 1.23245  (896.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.288 K, n=8.982e20 m^-3
[260] loss = 1.23228  (897.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.288 K, n=8.9788e20 m^-3
[261] loss = 1.23211  (900.8s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2396883975482728e-5   physical≈6.888659768107794 W/m^3
PDE[2] gas eq : scaled=1.1178973027439414e-7   physical≈3.934019597996518e19 m^-3/s
BC[1] surface : scaled=1.2014555268001896   physical≈0.14319220718638742 W/m^2
BC[2] ice heat : scaled=0.015317655136744218   physical≈180.15116671465617 W/m^2
BC[3] ice gas : scaled=0.015317541201641808   physical≈1.456230401630774e22 m^-2/s
Total PDE = 2.250867370575712e-5
Total BC  = 1.2320907231385756
Grand Total = 1.2321132318122814
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.289 K, n=8.9756e20 m^-3
[262] loss = 1.23194  (903.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.289 K, n=8.9723e20 m^-3
[263] loss = 1.23178  (907.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.29 K, n=8.9691e20 m^-3
[264] loss = 1.23161  (910.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.291 K, n=8.9661e20 m^-3
[265] loss = 1.23144  (913.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.291 K, n=8.963e20 m^-3
[266] loss = 1.23127  (915.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.292 K, n=8.96e20 m^-3
[267] loss = 1.2311  (918.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.292 K, n=8.9569e20 m^-3
[268] loss = 1.23094  (920.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.293 K, n=8.9539e20 m^-3
[269] loss = 1.23077  (923.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.294 K, n=8.951e20 m^-3
[270] loss = 1.2306  (926.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.294 K, n=8.9482e20 m^-3
[271] loss = 1.23043  (929.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.295 K, n=8.9454e20 m^-3
[272] loss = 1.23027  (932.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.296 K, n=8.9425e20 m^-3
[273] loss = 1.2301  (934.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.296 K, n=8.9395e20 m^-3
[274] loss = 1.22993  (938.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.297 K, n=8.9366e20 m^-3
[275] loss = 1.22977  (941.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.298 K, n=8.9336e20 m^-3
[276] loss = 1.2296  (942.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.298 K, n=8.9307e20 m^-3
[277] loss = 1.22944  (945.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.299 K, n=8.9279e20 m^-3
[278] loss = 1.22928  (947.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.3 K, n=8.9251e20 m^-3
[279] loss = 1.22912  (949.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.3 K, n=8.9223e20 m^-3
[280] loss = 1.22896  (951.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.301 K, n=8.9194e20 m^-3
[281] loss = 1.22881  (953.6s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.243361752361557e-5   physical≈6.894306563539566 W/m^3
PDE[2] gas eq : scaled=1.2926837126009373e-7   physical≈4.2304026292761625e19 m^-3/s
BC[1] surface : scaled=1.1982110539030766   physical≈0.14299873464607826 W/m^2
BC[2] ice heat : scaled=0.015287187265424882   physical≈179.9719109915741 W/m^2
BC[3] ice gas : scaled=0.015287033792024509   physical≈1.4547795173417813e22 m^-2/s
Total PDE = 2.2562885894875665e-5
Total BC  = 1.228785274960526
Grand Total = 1.228807837846421
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.302 K, n=8.9166e20 m^-3
[282] loss = 1.22866  (957.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.303 K, n=8.9137e20 m^-3
[283] loss = 1.22851  (959.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.303 K, n=8.9109e20 m^-3
[284] loss = 1.22837  (961.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.304 K, n=8.9082e20 m^-3
[285] loss = 1.22823  (964.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.305 K, n=8.9054e20 m^-3
[286] loss = 1.2281  (967.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.305 K, n=8.9027e20 m^-3
[287] loss = 1.22797  (968.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.306 K, n=8.9e20 m^-3
[288] loss = 1.22785  (971.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.307 K, n=8.8973e20 m^-3
[289] loss = 1.22773  (974.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.308 K, n=8.8946e20 m^-3
[290] loss = 1.22761  (976.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.308 K, n=8.892e20 m^-3
[291] loss = 1.22751  (979.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.309 K, n=8.8894e20 m^-3
[292] loss = 1.22735  (981.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.31 K, n=8.887e20 m^-3
[293] loss = 1.22721  (983.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.311 K, n=8.8845e20 m^-3
[294] loss = 1.22708  (986.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.312 K, n=8.882e20 m^-3
[295] loss = 1.22696  (989.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.313 K, n=8.8793e20 m^-3
[296] loss = 1.22686  (990.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.313 K, n=8.8767e20 m^-3
[297] loss = 1.22676  (993.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.314 K, n=8.8742e20 m^-3
[298] loss = 1.22667  (996.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.315 K, n=8.8718e20 m^-3
[299] loss = 1.22659  (999.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.316 K, n=8.8693e20 m^-3
[300] loss = 1.22651  (1001.2s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.317 K, n=8.8668e20 m^-3
checkpoint saved at iteration 300 -> checkpoints\checkpoint_100au_iter300.jls
[301] loss = 1.22644  (1006.4s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2481099499351345e-5   physical≈6.901598795016539 W/m^3
PDE[2] gas eq : scaled=1.341237997965135e-7   physical≈4.309119016354053e19 m^-3/s
BC[1] surface : scaled=1.1959148836954756   physical≈0.14286165241390847 W/m^2
BC[2] ice heat : scaled=0.015252136525391733   physical≈179.76547116172026 W/m^2
BC[3] ice gas : scaled=0.015251946034535016   physical≈1.453109007691085e22 m^-2/s
Total PDE = 2.261522329914786e-5
Total BC  = 1.2264189662554024
Grand Total = 1.2264415814787015
===============================
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.317 K, n=8.8643e20 m^-3
[302] loss = 1.22637  (1008.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.318 K, n=8.8618e20 m^-3
[303] loss = 1.22631  (1011.3s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.319 K, n=8.8593e20 m^-3
[304] loss = 1.22624  (1013.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.32 K, n=8.8568e20 m^-3
[305] loss = 1.22618  (1015.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.321 K, n=8.8544e20 m^-3
[306] loss = 1.22612  (1018.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.321 K, n=8.852e20 m^-3
[307] loss = 1.22606  (1020.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.322 K, n=8.8495e20 m^-3
[308] loss = 1.226  (1022.7s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.323 K, n=8.847e20 m^-3
[309] loss = 1.22595  (1024.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.324 K, n=8.8446e20 m^-3
[310] loss = 1.22589  (1027.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.325 K, n=8.842e20 m^-3
[311] loss = 1.22583  (1030.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.325 K, n=8.8395e20 m^-3
[312] loss = 1.22578  (1033.1s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.326 K, n=8.8369e20 m^-3
[313] loss = 1.22572  (1036.0s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.327 K, n=8.8344e20 m^-3
[314] loss = 1.22567  (1037.4s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.328 K, n=8.8318e20 m^-3
[315] loss = 1.22561  (1039.8s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.329 K, n=8.8293e20 m^-3
[316] loss = 1.22555  (1042.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.329 K, n=8.8268e20 m^-3
[317] loss = 1.2255  (1045.5s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.33 K, n=8.8243e20 m^-3
[318] loss = 1.22544  (1048.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.331 K, n=8.8218e20 m^-3
[319] loss = 1.22539  (1049.9s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.332 K, n=8.8193e20 m^-3
[320] loss = 1.22533  (1052.6s)
    IC  @ x=A, t=0 -> T=40.0 K, n=2.7067e15 m^-3
    IC  @ x=B, t=0 -> T=40.0 K, n=2.7067e21 m^-3
    BC  @ x=B, t=t_max -> T=12.333 K, n=8.8169e20 m^-3
[321] loss = 1.22527  (1055.1s)
========== LOSS BREAKDOWN ==========
PDE[1] heat eq : scaled=2.2474626857258035e-5   physical≈6.900605187147435 W/m^3
